word,counts,test_or_train
teach,9,TRAIN
first,35,TRAIN
abolish,7,TRAIN
cheating,7,TRAIN
chocolate,7,TRAIN
roses,7,TRAIN
fail,7,TRAIN
romantic,7,TRAIN
gift,15,TRAIN
teacher,1,TRAIN
assignment,2,TRAIN
desegregate,1,TRAIN
aside,1,TRAIN
dry,9,TRAIN
thoroughly,8,TRAIN
steph,7,TRAIN
handle,7,TRAIN
psychological,9,TRAIN
trauma,7,TRAIN
chases,7,TRAIN
cats,14,TRAIN
mercilessly,7,TRAIN
scientific,7,TRAIN
progress,9,TRAIN
comes,8,TRAIN
development,9,TRAIN
techniques,7,TRAIN
pickpocket,7,TRAIN
caught,8,TRAIN
red-handed,7,TRAIN
gigantic,7,TRAIN
wasp,8,TRAIN
next,12,TRAIN
irving's,7,TRAIN
hat,9,TRAIN
parking,2,TRAIN
"attendants,",1,TRAIN
replaced,1,TRAIN
automatic,2,TRAIN
gates,1,TRAIN
regular,9,TRAIN
attendance,7,TRAIN
required,8,TRAIN
zinnias,7,TRAIN
crooked,8,TRAIN
put,19,TRAIN
herb's,7,TRAIN
thanksgiving,7,TRAIN
"happy,",1,TRAIN
crowd,1,TRAIN
orange,14,TRAIN
juice,21,TRAIN
tastes,7,TRAIN
funny,7,TRAIN
after,27,TRAIN
toothpaste,14,TRAIN
competently,1,TRAIN
anonymous,1,TRAIN
performances,1,TRAIN
earlier,3,TRAIN
poems,1,TRAIN
miraculous,1,TRAIN
mysterious,2,TRAIN
biblical,7,TRAIN
scholars,7,TRAIN
argue,7,TRAIN
history,7,TRAIN
lighted,1,TRAIN
interior,9,TRAIN
struggling,1,TRAIN
wraps,1,TRAIN
serve,10,TRAIN
rhubarb,7,TRAIN
rachel's,7,TRAIN
answers,8,TRAIN
straightforward,7,TRAIN
carefully,8,TRAIN
successors,2,TRAIN
adopted,1,TRAIN
opposite,2,TRAIN
alternative,1,TRAIN
publicity,7,TRAIN
notoriety,7,TRAIN
come,19,TRAIN
pathological,7,TRAIN
so,53,TRAIN
hides,1,TRAIN
mayonnaise,1,TRAIN
classical,7,TRAIN
performance,8,TRAIN
gained,8,TRAIN
critical,14,TRAIN
acclaim,7,TRAIN
which,25,TRAIN
article,7,TRAIN
opaque,8,TRAIN
needed,11,TRAIN
clarification,7,TRAIN
gwen,7,TRAIN
planted,7,TRAIN
green,7,TRAIN
beans,7,TRAIN
vegetable,7,TRAIN
"soon,",8,TRAIN
half-man,1,TRAIN
avowed,1,TRAIN
freethinkers,1,TRAIN
wants,1,TRAIN
deed,1,TRAIN
done,3,TRAIN
failure,8,TRAIN
open,18,TRAIN
cost,10,TRAIN
handbag,7,TRAIN
tell,17,TRAIN
themselves,6,TRAIN
bothers,1,TRAIN
overthrow,7,TRAIN
alien,7,TRAIN
forces,10,TRAIN
service,7,TRAIN
tips,7,TRAIN
"further,",1,TRAIN
stopping,1,TRAIN
anarchy,1,TRAIN
garrisoned,1,TRAIN
two,39,TRAIN
contribute,1,TRAIN
popularity,8,TRAIN
triumphant,7,TRAIN
warrior,7,TRAIN
exhibited,7,TRAIN
naive,8,TRAIN
heroism,7,TRAIN
suburban,7,TRAIN
housewives,7,TRAIN
suffer,7,TRAIN
gab,7,TRAIN
habit,7,TRAIN
artistic,1,TRAIN
accomplishments,1,TRAIN
guaranteed,1,TRAIN
entry,1,TRAIN
social,13,TRAIN
gathering,2,TRAIN
easier,3,TRAIN
they're,4,TRAIN
louse,1,TRAIN
shipbuilding,7,TRAIN
fascinating,7,TRAIN
athletic,7,TRAIN
activities,8,TRAIN
mind,2,TRAIN
"useless,",1,TRAIN
kindly,1,TRAIN
questions,5,TRAIN
foreign,8,TRAIN
subtitles,7,TRAIN
try,11,TRAIN
recall,7,TRAIN
events,8,TRAIN
chronological,7,TRAIN
forget,3,TRAIN
whiskey;,1,TRAIN
seller,1,TRAIN
children,18,TRAIN
consume,7,TRAIN
fruit,14,TRAIN
candies,7,TRAIN
sitting,8,TRAIN
insurance,5,TRAIN
company,3,TRAIN
aid,3,TRAIN
reducing,1,TRAIN
administrative,2,TRAIN
costs,1,TRAIN
surprising,1,TRAIN
trait,1,TRAIN
ballplayer,1,TRAIN
assuredly,1,TRAIN
ideas,5,TRAIN
invaluable,1,TRAIN
room,1,TRAIN
commonplace,1,TRAIN
dolphins,7,TRAIN
intelligent,7,TRAIN
marine,10,TRAIN
mammals,7,TRAIN
severe,7,TRAIN
myopia,7,TRAIN
contributed,8,TRAIN
ron's,7,TRAIN
inferiority,7,TRAIN
complex,7,TRAIN
mudwagon,1,TRAIN
fire,5,TRAIN
thing,9,TRAIN
ironing,7,TRAIN
board,7,TRAIN
sincere,2,TRAIN
wish,2,TRAIN
continues,1,TRAIN
sets,1,TRAIN
today,6,TRAIN
handful,2,TRAIN
concert,1,TRAIN
cement,7,TRAIN
measured,9,TRAIN
cubic,7,TRAIN
yards,8,TRAIN
"broken,",7,TRAIN
chop,8,TRAIN
wood,8,TRAIN
brings,2,TRAIN
per-year,1,TRAIN
mighty,1,TRAIN
low,4,TRAIN
oysters,7,TRAIN
pearls,7,TRAIN
rains,1,TRAIN
flow,2,TRAIN
rose,9,TRAIN
rapidly,1,TRAIN
infiltration,1,TRAIN
sewers,1,TRAIN
played,3,TRAIN
crack,2,TRAIN
whip,1,TRAIN
minutes,4,TRAIN
mishap,1,TRAIN
tim,7,TRAIN
takes,10,TRAIN
sheila,7,TRAIN
see,25,TRAIN
twice,10,TRAIN
week,9,TRAIN
factors,1,TRAIN
greeted,1,TRAIN
husband's,1,TRAIN
colleagues,1,TRAIN
smiling,1,TRAIN
"politeness,",1,TRAIN
offering,1,TRAIN
emperor,8,TRAIN
mean,13,TRAIN
temper,7,TRAIN
proper,9,TRAIN
maintenance,8,TRAIN
pint-sized,1,TRAIN
graying,1,TRAIN
spade,1,TRAIN
beard,1,TRAIN
unusually,1,TRAIN
head,11,TRAIN
permanent,8,TRAIN
records,7,TRAIN
al,7,TRAIN
received,9,TRAIN
joint,7,TRAIN
appointment,7,TRAIN
biology,7,TRAIN
engineering,8,TRAIN
departments,7,TRAIN
tracks,1,TRAIN
hoofs,1,TRAIN
boots,1,TRAIN
courier,7,TRAIN
dwarf,8,TRAIN
based,1,TRAIN
"events,",1,TRAIN
these,37,TRAIN
dubious,1,TRAIN
validity,1,TRAIN
anti-slavery,2,TRAIN
movement,1,TRAIN
forms,1,TRAIN
valley,8,TRAIN
lodge,7,TRAIN
yearly,7,TRAIN
celebrates,7,TRAIN
calf,7,TRAIN
born,7,TRAIN
correct,8,TRAIN
execution,7,TRAIN
crucial,7,TRAIN
prowler,7,TRAIN
wore,16,TRAIN
ski,7,TRAIN
mask,7,TRAIN
disguise,7,TRAIN
desire,1,TRAIN
ability,2,TRAIN
read,2,TRAIN
important,7,TRAIN
aspects,1,TRAIN
cultural,2,TRAIN
life,10,TRAIN
offensive,7,TRAIN
innocence,7,TRAIN
figures,2,TRAIN
higher,3,TRAIN
later,5,TRAIN
penguins,7,TRAIN
icy,7,TRAIN
antarctic,7,TRAIN
corsage,7,TRAIN
smelled,8,TRAIN
sweet,9,TRAIN
surplus,7,TRAIN
sold,7,TRAIN
discount,7,TRAIN
rearrange,1,TRAIN
matters,2,TRAIN
performers,1,TRAIN
bump,1,TRAIN
signs,2,TRAIN
"these,",1,TRAIN
gross,1,TRAIN
hemorrhage,2,TRAIN
"lungs,",1,TRAIN
"heart,",1,TRAIN
brain,3,TRAIN
stomach,2,TRAIN
biscuit,1,TRAIN
thought,9,TRAIN
soul,1,TRAIN
holiday,7,TRAIN
aprons,7,TRAIN
available,15,TRAIN
colleges,7,TRAIN
coeducational,7,TRAIN
thinker,7,TRAIN
famous,8,TRAIN
assume,14,TRAIN
moisture,14,TRAIN
damage,8,TRAIN
ship's,7,TRAIN
hull,7,TRAIN
resolved,2,TRAIN
sentiment,1,TRAIN
becoming,1,TRAIN
ripe,2,TRAIN
resolute,1,TRAIN
wishful,1,TRAIN
thinking,2,TRAIN
won't,6,TRAIN
roy,7,TRAIN
ignored,8,TRAIN
spurious,7,TRAIN
data,13,TRAIN
points,8,TRAIN
drawing,7,TRAIN
hardy,1,TRAIN
travelers,1,TRAIN
unappreciated,1,TRAIN
decrease,2,TRAIN
temptations,1,TRAIN
"dark,",8,TRAIN
"fluid,",2,TRAIN
"fearful,",1,TRAIN
sigh,1,TRAIN
knife,1,TRAIN
went,7,TRAIN
reconsider,1,TRAIN
assured,1,TRAIN
"him,",7,TRAIN
rewrite,1,TRAIN
truth,3,TRAIN
crisis,2,TRAIN
spokes,1,TRAIN
degree,2,TRAIN
led,2,TRAIN
outward,2,TRAIN
rim,1,TRAIN
common,10,TRAIN
fool,1,TRAIN
kill,5,TRAIN
everybody,2,TRAIN
"""junior""",1,TRAIN
asked,3,TRAIN
reportorial,1,TRAIN
gleam,1,TRAIN
eye,4,TRAIN
concept,2,TRAIN
responsibility,1,TRAIN
articulation,1,TRAIN
establishment,1,TRAIN
vacuum,1,TRAIN
cleaners,1,TRAIN
"rooms,",1,TRAIN
sucking,1,TRAIN
dust,2,TRAIN
once,14,TRAIN
brown,3,TRAIN
knit,1,TRAIN
sport,1,TRAIN
shirt,1,TRAIN
tie,2,TRAIN
we'd,2,TRAIN
someplace,2,TRAIN
mercenary:,1,TRAIN
term,1,TRAIN
unfortunates,1,TRAIN
darkness,2,TRAIN
began,6,TRAIN
dissolve,1,TRAIN
rode,3,TRAIN
mare's,1,TRAIN
neck,1,TRAIN
government,14,TRAIN
sought,8,TRAIN
authorization,7,TRAIN
citizenship,8,TRAIN
shawn,7,TRAIN
catch,8,TRAIN
goose,7,TRAIN
armed,1,TRAIN
sophistication,1,TRAIN
numerous,1,TRAIN
competing,1,TRAIN
media,1,TRAIN
oyster,7,TRAIN
nora's,7,TRAIN
plate,7,TRAIN
raisins,7,TRAIN
outdoors,14,TRAIN
porch,7,TRAIN
steps,8,TRAIN
thus,3,TRAIN
advances,1,TRAIN
entirely,2,TRAIN
functional,2,TRAIN
lines,9,TRAIN
squeezed,7,TRAIN
bottom,7,TRAIN
observe,2,TRAIN
moral,4,TRAIN
law,6,TRAIN
physical,2,TRAIN
appear,2,TRAIN
inevitable,1,TRAIN
walked,3,TRAIN
driven,3,TRAIN
unless,2,TRAIN
hails,1,TRAIN
"them,",4,TRAIN
pass,2,TRAIN
"years,",1,TRAIN
preservation,1,TRAIN
essentially,2,TRAIN
related,4,TRAIN
survival,1,TRAIN
bright,10,TRAIN
sunshine,7,TRAIN
shimmers,7,TRAIN
ocean,7,TRAIN
tomboy,7,TRAIN
play,11,TRAIN
john's,7,TRAIN
repainted,7,TRAIN
garage,7,TRAIN
door,10,TRAIN
masquerade,7,TRAIN
tax,9,TRAIN
one's,10,TRAIN
imagination,7,TRAIN
exercise,1,TRAIN
six,5,TRAIN
times,16,TRAIN
class,2,TRAIN
"drink,",1,TRAIN
fella,1,TRAIN
confirm,7,TRAIN
policy,9,TRAIN
regarding,7,TRAIN
waste,7,TRAIN
removal,7,TRAIN
before,15,TRAIN
longer,14,TRAIN
quieted,1,TRAIN
theory:,1,TRAIN
behind,8,TRAIN
design,2,TRAIN
modular,1,TRAIN
"units,",1,TRAIN
panelization,1,TRAIN
second,4,TRAIN
assistant,1,TRAIN
mopped,1,TRAIN
sponges,1,TRAIN
pa,1,TRAIN
care,1,TRAIN
bathing,1,TRAIN
itching,1,TRAIN
parts,1,TRAIN
kerosene,2,TRAIN
relief,3,TRAIN
killed,3,TRAIN
pests,1,TRAIN
ant,2,TRAIN
bites,1,TRAIN
eased,1,TRAIN
applying,1,TRAIN
liquid,2,TRAIN
bluing,1,TRAIN
thomas,7,TRAIN
thinks,14,TRAIN
larger,9,TRAIN
clamp,7,TRAIN
solves,7,TRAIN
figure,3,TRAIN
"all,",2,TRAIN
woman,10,TRAIN
it'd,1,TRAIN
diane,7,TRAIN
splurge,7,TRAIN
turquoise,14,TRAIN
necklace,7,TRAIN
buying,8,TRAIN
thoroughbred,7,TRAIN
horse,9,TRAIN
requires,10,TRAIN
intuition,7,TRAIN
expertise,7,TRAIN
withdraw,7,TRAIN
money,18,TRAIN
hispanic,7,TRAIN
costumes,14,TRAIN
colorful,14,TRAIN
real,6,TRAIN
"lines,",1,TRAIN
conservatism,1,TRAIN
traditionalism,1,TRAIN
implied,1,TRAIN
replace,1,TRAIN
statue,1,TRAIN
world's,1,TRAIN
dictators,1,TRAIN
game,2,TRAIN
cards,1,TRAIN
advance,4,TRAIN
import,1,TRAIN
exaggerated,1,TRAIN
specific,2,TRAIN
"guide,",1,TRAIN
keyed,1,TRAIN
calendar,1,TRAIN
bury,1,TRAIN
uniforms,1,TRAIN
alfalfa,7,TRAIN
healthy,7,TRAIN
approach,8,TRAIN
interview,7,TRAIN
statuesque,7,TRAIN
composure,7,TRAIN
adequate,2,TRAIN
"coverage,",1,TRAIN
places,1,TRAIN
save,15,TRAIN
sudden,8,TRAIN
departure,7,TRAIN
shocked,7,TRAIN
cast,7,TRAIN
welcome,7,TRAIN
avalanche,7,TRAIN
triggered,7,TRAIN
minor,7,TRAIN
earthquake,7,TRAIN
flaxseed,1,TRAIN
poultices,1,TRAIN
plasters,1,TRAIN
still,5,TRAIN
persons,1,TRAIN
find,4,TRAIN
'em,6,TRAIN
purchased,7,TRAIN
signed,7,TRAIN
lithographs,7,TRAIN
museum,15,TRAIN
hires,7,TRAIN
musicians,7,TRAIN
explicitly,7,TRAIN
delete,7,TRAIN
files,14,TRAIN
glimpse,1,TRAIN
ranch,1,TRAIN
brushy,1,TRAIN
swells,1,TRAIN
told,8,TRAIN
growing,8,TRAIN
well-kept,7,TRAIN
gardens,7,TRAIN
consuming,7,TRAIN
mike,1,TRAIN
legal,1,TRAIN
age,3,TRAIN
presumed,1,TRAIN
able,3,TRAIN
defend,2,TRAIN
himself,11,TRAIN
clinches,1,TRAIN
technique,2,TRAIN
genuinely,1,TRAIN
masterful,1,TRAIN
acts,9,TRAIN
violence,8,TRAIN
"house,",1,TRAIN
generous,1,TRAIN
overhangs,1,TRAIN
logical,1,TRAIN
effective,2,TRAIN
solution,1,TRAIN
bacteria,2,TRAIN
formed,1,TRAIN
typical,2,TRAIN
activated,1,TRAIN
sludge,1,TRAIN
floc,1,TRAIN
formula,1,TRAIN
equation,1,TRAIN
anchor,1,TRAIN
cars,3,TRAIN
"crest,",1,TRAIN
chrome,1,TRAIN
glass,3,TRAIN
flashing,1,TRAIN
yourself,3,TRAIN
vigorous,1,TRAIN
program,4,TRAIN
existed,2,TRAIN
"skiing,",1,TRAIN
skating,1,TRAIN
sports,1,TRAIN
overnight,1,TRAIN
hiking,1,TRAIN
desirable,2,TRAIN
features,9,TRAIN
park,1,TRAIN
beautiful,2,TRAIN
views,1,TRAIN
scenery,1,TRAIN
engulfed,1,TRAIN
bedlam,1,TRAIN
news,8,TRAIN
hired,8,TRAIN
great,21,TRAIN
journalist,7,TRAIN
screwdriver,7,TRAIN
vodka,7,TRAIN
coconut,7,TRAIN
makes,10,TRAIN
nice,8,TRAIN
teaching,1,TRAIN
guides,1,TRAIN
included,2,TRAIN
bluejay,7,TRAIN
building,8,TRAIN
uses,8,TRAIN
names,8,TRAIN
interchangeably,7,TRAIN
talking,1,TRAIN
main,3,TRAIN
"probabilities,",1,TRAIN
risks,1,TRAIN
danger,1,TRAIN
general,4,TRAIN
,5,TRAIN
football,7,TRAIN
team,8,TRAIN
coach,7,TRAIN
watch,15,TRAIN
dime,7,TRAIN
waiting,9,TRAIN
chipper,7,TRAIN
crisscrossed,7,TRAIN
square,7,TRAIN
singer's,7,TRAIN
finger,7,TRAIN
foolish,2,TRAIN
chip,7,TRAIN
alimony,14,TRAIN
payments,7,TRAIN
until,11,TRAIN
latest,8,TRAIN
possible,11,TRAIN
date,7,TRAIN
puree,7,TRAIN
preparing,7,TRAIN
skewers,7,TRAIN
explains,2,TRAIN
uni-directional,1,TRAIN
"keep,",1,TRAIN
eagerly,1,TRAIN
rattlesnake,1,TRAIN
gag,2,TRAIN
"satellites,",1,TRAIN
"sputniks,",1,TRAIN
"rockets,",1,TRAIN
balloons;,1,TRAIN
curves,2,TRAIN
derived,1,TRAIN
analysis,4,TRAIN
extensive,1,TRAIN
skywave,1,TRAIN
measurement,2,TRAIN
norwegian,7,TRAIN
sweaters,7,TRAIN
lamb's,7,TRAIN
wool,7,TRAIN
jim,7,TRAIN
archeological,7,TRAIN
scalp,7,TRAIN
blistered,7,TRAIN
today's,7,TRAIN
harms,7,TRAIN
divorced,7,TRAIN
wealth,14,TRAIN
domestic,1,TRAIN
washer,1,TRAIN
equivalent,1,TRAIN
he'd,4,TRAIN
unhappy,1,TRAIN
peach,1,TRAIN
drug's,2,TRAIN
chemical,3,TRAIN
name:,2,TRAIN
dried,1,TRAIN
rumen,1,TRAIN
brush,7,TRAIN
fires,7,TRAIN
underbrush,7,TRAIN
nevada,7,TRAIN
glazed,1,TRAIN
hear,8,TRAIN
wheel,1,TRAIN
spun,1,TRAIN
around,17,TRAIN
royal,2,TRAIN
aristocratic,2,TRAIN
centre,1,TRAIN
yet,14,TRAIN
spirit,2,TRAIN
aim,1,TRAIN
learn,2,TRAIN
calm,1,TRAIN
assuring,1,TRAIN
peace,2,TRAIN
yours,2,TRAIN
feel,4,TRAIN
cigar,1,TRAIN
stared,2,TRAIN
"morning,",1,TRAIN
expecting,1,TRAIN
pendulum,1,TRAIN
swing,1,TRAIN
horizon,1,TRAIN
trucks,1,TRAIN
drunkard,7,TRAIN
outcast,7,TRAIN
reading,8,TRAIN
poor,8,TRAIN
light,10,TRAIN
gives,9,TRAIN
eyestrain,7,TRAIN
murky,7,TRAIN
lagoon,7,TRAIN
wound,9,TRAIN
miles,9,TRAIN
crab,7,TRAIN
challenged,7,TRAIN
"me,",12,TRAIN
quick,8,TRAIN
stab,7,TRAIN
vanquished,7,TRAIN
upgrade,7,TRAIN
status,7,TRAIN
reflect,7,TRAIN
assail,1,TRAIN
wagons,1,TRAIN
burning,2,TRAIN
fiercely,1,TRAIN
ourselves,2,TRAIN
urging,1,TRAIN
decadent,1,TRAIN
themes,1,TRAIN
fewer,1,TRAIN
prizes,1,TRAIN
allowance,7,TRAIN
davy,2,TRAIN
mathews,1,TRAIN
"disgusting,",1,TRAIN
you're,11,TRAIN
thermonuclear,1,TRAIN
war,3,TRAIN
accident,1,TRAIN
latches,1,TRAIN
oh,3,TRAIN
--,12,TRAIN
"managed,",1,TRAIN
cardboard,1,TRAIN
pattern,2,TRAIN
fit,1,TRAIN
inside,2,TRAIN
holder,1,TRAIN
prevent,2,TRAIN
warping,1,TRAIN
swig,1,TRAIN
drink,1,TRAIN
soak,1,TRAIN
local,9,TRAIN
color,3,TRAIN
paper,8,TRAIN
apples,7,TRAIN
three,15,TRAIN
ices,7,TRAIN
drugstore,7,TRAIN
charged,7,TRAIN
illegally,7,TRAIN
dispensing,7,TRAIN
tranquilizers,7,TRAIN
irish,7,TRAIN
youngsters,7,TRAIN
kippers,7,TRAIN
lighter,1,TRAIN
"ha,",1,TRAIN
ha,1,TRAIN
eastern,7,TRAIN
coast,7,TRAIN
pure,7,TRAIN
pleasure,9,TRAIN
excitement,7,TRAIN
willowy,7,TRAIN
muskrat,14,TRAIN
coat,8,TRAIN
individual,4,TRAIN
human,1,TRAIN
strength,2,TRAIN
pit,1,TRAIN
against,7,TRAIN
inhuman,1,TRAIN
condition,1,TRAIN
angora,7,TRAIN
furrier,7,TRAIN
siamese,7,TRAIN
barb's,7,TRAIN
gold,8,TRAIN
bracelet,7,TRAIN
graduation,7,TRAIN
except,3,TRAIN
"room,",1,TRAIN
touch,4,TRAIN
reality,3,TRAIN
proof,8,TRAIN
seeking,7,TRAIN
books,8,TRAIN
nonprofit,7,TRAIN
organizations,7,TRAIN
frequent,7,TRAIN
fund,7,TRAIN
raisers,7,TRAIN
burglar,7,TRAIN
ever,15,TRAIN
teems,1,TRAIN
romance,1,TRAIN
adventure,1,TRAIN
sacrifice,1,TRAIN
language,4,TRAIN
amount,1,TRAIN
ballyhoo,1,TRAIN
cover,1,TRAIN
sordid,1,TRAIN
moved,4,TRAIN
"gracefully,",1,TRAIN
clumsy,2,TRAIN
line,10,TRAIN
symbolize,1,TRAIN
"uniqueness,",1,TRAIN
circle,1,TRAIN
universality,1,TRAIN
cases,2,TRAIN
advisement,1,TRAIN
choreographer,1,TRAIN
arbitrate,1,TRAIN
remembered,3,TRAIN
oriented,1,TRAIN
geographically,1,TRAIN
let's,3,TRAIN
safer,1,TRAIN
i'm,3,TRAIN
search,2,TRAIN
cobbler's,1,TRAIN
shop,2,TRAIN
navigate,1,TRAIN
"chuckled,",1,TRAIN
memory,1,TRAIN
vivid,2,TRAIN
cliff's,7,TRAIN
display,8,TRAIN
misplaced,7,TRAIN
screen,7,TRAIN
remained,8,TRAIN
lifelong,7,TRAIN
friends,8,TRAIN
companions,7,TRAIN
frightened,7,TRAIN
subdued,7,TRAIN
overweight,7,TRAIN
charmer,7,TRAIN
slip,7,TRAIN
poison,7,TRAIN
anyone's,7,TRAIN
tea,7,TRAIN
retaliatory,1,TRAIN
attack,2,TRAIN
"yogurt,",7,TRAIN
pity,1,TRAIN
loneliness,1,TRAIN
"chairs,",1,TRAIN
"cabinets,",1,TRAIN
"chests,",1,TRAIN
"houses,",1,TRAIN
etc,1,TRAIN
"shot,",1,TRAIN
hoarse,1,TRAIN
yelled,1,TRAIN
milk,11,TRAIN
appears,2,TRAIN
particular,1,TRAIN
actions,1,TRAIN
drugs,8,TRAIN
respect,2,TRAIN
"anyway,",1,TRAIN
evident,1,TRAIN
population,3,TRAIN
thereby,1,TRAIN
replenish,1,TRAIN
actually,3,TRAIN
grow,9,TRAIN
simmer,1,TRAIN
fifteen,1,TRAIN
confidence,2,TRAIN
"banks,",1,TRAIN
something,5,TRAIN
"economy,",1,TRAIN
mealynosed,1,TRAIN
items,1,TRAIN
less,4,TRAIN
shot,4,TRAIN
body,5,TRAIN
suburbs,1,TRAIN
hint,1,TRAIN
violent,1,TRAIN
struggle,2,TRAIN
guy,2,TRAIN
idolize,1,TRAIN
reached,2,TRAIN
felt,9,TRAIN
bath,1,TRAIN
towel,2,TRAIN
hanging,1,TRAIN
rack,1,TRAIN
tub,1,TRAIN
turn,3,TRAIN
shaker,1,TRAIN
upside,1,TRAIN
elementary-school,1,TRAIN
grows,1,TRAIN
gradually,2,TRAIN
groups,1,TRAIN
admitted,1,TRAIN
ten,5,TRAIN
ago,2,TRAIN
blew,2,TRAIN
ditches,1,TRAIN
"frequently,",1,TRAIN
overeating,1,TRAIN
result,3,TRAIN
compulsion,1,TRAIN
same,4,TRAIN
shelter,2,TRAIN
built,2,TRAIN
embankment,1,TRAIN
ground,2,TRAIN
level,2,TRAIN
shredded,7,TRAIN
creole,7,TRAIN
cooking,8,TRAIN
curry,7,TRAIN
"eyedrops,",7,TRAIN
tears,7,TRAIN
hide,2,TRAIN
bushel,1,TRAIN
ventures,1,TRAIN
everyone,2,TRAIN
agreed,1,TRAIN
primitive,7,TRAIN
tribes,7,TRAIN
upbeat,7,TRAIN
attitude,14,TRAIN
outer,9,TRAIN
"first,",9,TRAIN
"c'mon,",1,TRAIN
whispered;,1,TRAIN
levels,4,TRAIN
feet,15,TRAIN
"down,",2,TRAIN
fall,3,TRAIN
hundred,2,TRAIN
thousand,2,TRAIN
dollars,2,TRAIN
thirty,2,TRAIN
days,4,TRAIN
fix,1,TRAIN
meant,1,TRAIN
"fails,",7,TRAIN
force,7,TRAIN
radio,2,TRAIN
reception,1,TRAIN
shielding,1,TRAIN
necessary,5,TRAIN
radiation,1,TRAIN
exclusive,8,TRAIN
documents,7,TRAIN
locked,7,TRAIN
tugboats,7,TRAIN
capable,8,TRAIN
hauling,7,TRAIN
loads,7,TRAIN
george,14,TRAIN
paranoid,7,TRAIN
future,7,TRAIN
you've,4,TRAIN
perhaps,5,TRAIN
bored,1,TRAIN
holes,1,TRAIN
stone,1,TRAIN
kind,4,TRAIN
electric,2,TRAIN
gadget,1,TRAIN
beverages,1,TRAIN
seeds,2,TRAIN
world,5,TRAIN
presents,2,TRAIN
husband,1,TRAIN
coal-black,1,TRAIN
picket,1,TRAIN
ships,1,TRAIN
suppose,3,TRAIN
"reason,",1,TRAIN
drawled,1,TRAIN
orchestra,1,TRAIN
obviously,1,TRAIN
mettle,1,TRAIN
responsively,1,TRAIN
reply,1,TRAIN
burn,1,TRAIN
whole,3,TRAIN
mountainside,1,TRAIN
size,1,TRAIN
partly,2,TRAIN
"non-nonsense,",1,TRAIN
ain't,4,TRAIN
"beauty,",1,TRAIN
though,5,TRAIN
dollar-and-cents,1,TRAIN
limit,1,TRAIN
benefits,2,TRAIN
punishment,1,TRAIN
bother,2,TRAIN
offer,2,TRAIN
own,15,TRAIN
defense,2,TRAIN
visitor,1,TRAIN
inquired,1,TRAIN
developed,1,TRAIN
worship,8,TRAIN
planning,3,TRAIN
strategy,1,TRAIN
sufficiently,1,TRAIN
sex,1,TRAIN
dollars-and-cents,1,TRAIN
basis,2,TRAIN
smiths,7,TRAIN
waited,2,TRAIN
elevator,1,TRAIN
said:,1,TRAIN
turned,3,TRAIN
pink,1,TRAIN
smothered,1,TRAIN
cough,2,TRAIN
artists,7,TRAIN
exchanged,7,TRAIN
autographs,7,TRAIN
rise,8,TRAIN
peeling,7,TRAIN
"orange,",7,TRAIN
spray,7,TRAIN
pamphlets,1,TRAIN
relieving,1,TRAIN
maturity,1,TRAIN
"thick,",2,TRAIN
squashy,1,TRAIN
fist,2,TRAIN
flesh,1,TRAIN
"phenomenon,",1,TRAIN
substantially,1,TRAIN
inflated,1,TRAIN
cowboy,1,TRAIN
breed,1,TRAIN
cattle,2,TRAIN
magpies,1,TRAIN
realize,2,TRAIN
extent,2,TRAIN
density,1,TRAIN
applies,1,TRAIN
micrometeorites,1,TRAIN
unknown,2,TRAIN
cloudburst,1,TRAIN
abruptly,1,TRAIN
experience,11,TRAIN
distress,7,TRAIN
frustration,7,TRAIN
obtaining,7,TRAIN
degrees,7,TRAIN
precincts,7,TRAIN
third,10,TRAIN
votes,7,TRAIN
counted,7,TRAIN
iris,7,TRAIN
zoo,7,TRAIN
eleven,7,TRAIN
spanish,7,TRAIN
zebras,7,TRAIN
moistened,1,TRAIN
lips,4,TRAIN
uneasily,1,TRAIN
gregory,7,TRAIN
tom,7,TRAIN
chose,8,TRAIN
cartoons,8,TRAIN
afternoon,7,TRAIN
ambulance,7,TRAIN
patient,14,TRAIN
"""steam",1,TRAIN
"baths""",1,TRAIN
writes:,2,TRAIN
steam,1,TRAIN
baths,1,TRAIN
health,1,TRAIN
bleu,7,TRAIN
victor,7,TRAIN
prefers,7,TRAIN
swiss,7,TRAIN
trespassing,7,TRAIN
forbidden,7,TRAIN
penalty,7,TRAIN
unbeatable,7,TRAIN
best,7,TRAIN
players,7,TRAIN
manner,1,TRAIN
entitle,1,TRAIN
credit,2,TRAIN
showers,7,TRAIN
mates,1,TRAIN
stirred,1,TRAIN
waking,1,TRAIN
accepted,1,TRAIN
"many,",1,TRAIN
produced,1,TRAIN
mollusks,1,TRAIN
case,1,TRAIN
clerk's,1,TRAIN
flickered,1,TRAIN
sixty,1,TRAIN
nor,5,TRAIN
wet,2,TRAIN
boat,2,TRAIN
murmured,1,TRAIN
"himself,",1,TRAIN
firmness:,1,TRAIN
surrender,2,TRAIN
sugar,1,TRAIN
spread,1,TRAIN
lightly,2,TRAIN
scored,1,TRAIN
surface,3,TRAIN
already,6,TRAIN
swollen,1,TRAIN
bursting,1,TRAIN
profits,1,TRAIN
losses,1,TRAIN
bristles,1,TRAIN
soft,4,TRAIN
massage,1,TRAIN
gums,1,TRAIN
scratch,1,TRAIN
enamel,1,TRAIN
